field_ID,sample_ID,country,country_full,site,site_full,farmer_no,type,species,variety,material,material_type,date,UTM_easting,UTM_northing,coordinate_system,altitude
CI_sb_07,CI_sb_07_leaf,ci,Côte d'Ivoire,sb,Liliyo,7,cal,D. alata,Cameroun,leaf,leaf,20150721,786000,655800,UTM,191
CI_sb_07,CI_sb_07_vine,ci,Côte d'Ivoire,sb,Liliyo,7,cal,D. alata,Cameroun,vine,vine ,20150721,786000,655800,UTM,191
CI_sb_07,CI_sb_07_tuber,ci,Côte d'Ivoire,sb,Liliyo,7,cal,D. alata,Cameroun,tuber,tuber,20150721,786000,655800,UTM,191
CI_sb_07,CI_sb_07_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,7,cal,D. alata,Cameroun,soil,soil_cal,20150721,786000,655800,UTM,191
CI_sb_07,CI_sb_07_soil_add,ci,Côte d'Ivoire,sb,Liliyo,7,add,D. alata,Cameroun,soil,soil_add,20150721,786000,655800,UTM,191
CI_sb_08,CI_sb_08_leaf,ci,Côte d'Ivoire,sb,Liliyo,8,cal,D. alata,Bètè bètè,leaf,leaf,20150721,786277,655882,UTM,192
CI_sb_08,CI_sb_08_vine,ci,Côte d'Ivoire,sb,Liliyo,8,cal,D. alata,Bètè bètè,vine,vine ,20150721,786277,655882,UTM,192
CI_sb_08,CI_sb_08_tuber,ci,Côte d'Ivoire,sb,Liliyo,8,cal,D. alata,Bètè bètè,tuber,tuber,20150721,786277,655882,UTM,192
CI_sb_08,CI_sb_08_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,8,cal,D. alata,Bètè bètè,soil,soil_cal,20150721,786277,655882,UTM,192
CI_sb_08,CI_sb_08_soil_add,ci,Côte d'Ivoire,sb,Liliyo,8,add,D. alata,Bètè bètè,soil,soil_add,20150721,786277,655882,UTM,192
CI_sb_09,CI_sb_09_leaf,ci,Côte d'Ivoire,sb,Liliyo,9,cal,D. alata,Cameroun,leaf,leaf,20150721,786225,654137,UTM,156
CI_sb_09,CI_sb_09_vine,ci,Côte d'Ivoire,sb,Liliyo,9,cal,D. alata,Cameroun,vine,vine ,20150721,786225,654137,UTM,156
CI_sb_09,CI_sb_09_tuber,ci,Côte d'Ivoire,sb,Liliyo,9,cal,D. alata,Cameroun,tuber,tuber,20150721,786225,654137,UTM,156
CI_sb_09,CI_sb_09_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,9,cal,D. alata,Cameroun,soil,soil_cal,20150721,786225,654137,UTM,156
CI_sb_09,CI_sb_09_soil_add,ci,Côte d'Ivoire,sb,Liliyo,9,add,D. alata,Cameroun,soil,soil_add,20150721,786225,654137,UTM,156
CI_sb_10,CI_sb_10_leaf,ci,Côte d'Ivoire,sb,Liliyo,10,cal,D. alata,Cameroun,leaf,leaf,20150721,784276,654911,UTM,170
CI_sb_10,CI_sb_10_vine,ci,Côte d'Ivoire,sb,Liliyo,10,cal,D. alata,Cameroun,vine,vine ,20150721,784276,654911,UTM,170
CI_sb_10,CI_sb_10_tuber,ci,Côte d'Ivoire,sb,Liliyo,10,cal,D. alata,Cameroun,tuber,tuber,20150721,784276,654911,UTM,170
CI_sb_10,CI_sb_10_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,10,cal,D. alata,Cameroun,soil,soil_cal,20150721,784276,654911,UTM,170
CI_sb_10,CI_sb_10_soil_add,ci,Côte d'Ivoire,sb,Liliyo,10,add,D. alata,Cameroun,soil,soil_add,20150721,784276,654911,UTM,170
CI_sb_11,CI_sb_11_leaf,ci,Côte d'Ivoire,sb,Liliyo,11,cal,D. alata,Cameroun,leaf,leaf,20150721,784785,653426,UTM,155
CI_sb_11,CI_sb_11_vine,ci,Côte d'Ivoire,sb,Liliyo,11,cal,D. alata,Cameroun,vine,vine ,20150721,784785,653426,UTM,155
CI_sb_11,CI_sb_11_tuber,ci,Côte d'Ivoire,sb,Liliyo,11,cal,D. alata,Cameroun,tuber,tuber,20150721,784785,653426,UTM,155
CI_sb_11,CI_sb_11_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,11,cal,D. alata,Cameroun,soil,soil_cal,20150721,784785,653426,UTM,155
CI_sb_11,CI_sb_11_soil_add,ci,Côte d'Ivoire,sb,Liliyo,11,add,D. alata,Cameroun,soil,soil_add,20150721,784785,653426,UTM,155
CI_sb_12,CI_sb_12_leaf,ci,Côte d'Ivoire,sb,Liliyo,12,cal,D. alata,Cameroun,leaf,leaf,20150721,784684,650898,UTM,145
CI_sb_12,CI_sb_12_vine,ci,Côte d'Ivoire,sb,Liliyo,12,cal,D. alata,Cameroun,vine,vine ,20150721,784684,650898,UTM,145
CI_sb_12,CI_sb_12_tuber,ci,Côte d'Ivoire,sb,Liliyo,12,cal,D. alata,Cameroun,tuber,tuber,20150721,784684,650898,UTM,145
CI_sb_12,CI_sb_12_soil_cal,ci,Côte d'Ivoire,sb,Liliyo,12,cal,D. alata,Cameroun,soil,soil_cal,20150721,784684,650898,UTM,145
CI_sb_12,CI_sb_12_soil_add,ci,Côte d'Ivoire,sb,Liliyo,12,add,D. alata,Cameroun,soil,soil_add,20150721,784684,650898,UTM,145
